trigger_name,event_object_table,event_manipulation
trg_audit_adverse_events,adverse_events,UPDATE
trg_audit_adverse_events,adverse_events,DELETE
trg_audit_adverse_events,adverse_events,INSERT
trg_sae_escalation,adverse_events,UPDATE
trg_sae_escalation,adverse_events,INSERT
trg_safety_signal,adverse_events,INSERT
trg_audit_ecrf_data,ecrf_data,UPDATE
trg_audit_ecrf_data,ecrf_data,INSERT
trg_audit_ecrf_data,ecrf_data,DELETE
trg_enforce_data_lock_ecrf,ecrf_data,UPDATE
trg_form_completion,ecrf_data,UPDATE
trg_audit_lab_results,lab_results,INSERT
trg_audit_lab_results,lab_results,UPDATE
trg_audit_lab_results,lab_results,DELETE
trg_critical_lab_alert,lab_results,INSERT
trg_critical_lab_alert,lab_results,UPDATE
trg_enforce_data_lock_labs,lab_results,UPDATE
trg_set_critical_lab_flag,lab_results,UPDATE
trg_set_critical_lab_flag,lab_results,INSERT
trg_visit_window,patient_visits,UPDATE
trg_visit_window,patient_visits,INSERT
trg_audit_patients,patients,INSERT
trg_audit_patients,patients,DELETE
trg_audit_patients,patients,UPDATE
trg_screening_number,patients,INSERT
trg_update_enrollment,patients,DELETE
trg_update_enrollment,patients,UPDATE
trg_update_enrollment,patients,INSERT
trg_audit_randomization,randomization_assignments,DELETE
trg_audit_randomization,randomization_assignments,INSERT
trg_audit_randomization,randomization_assignments,UPDATE
trg_validate_randomization,randomization_assignments,INSERT
trg_invalidate_protocol,study_protocols,INSERT
